01-11-01-041 C H,"ELETRODUTO RÖGIDO ROSCµVEL, PVC, DN 110MM (4), PARA REDE ENTERRADA DE DISTRIBUI€ÇO DE ENERGIA ELTRICA - FORNECIMENTO E INSTALA€ÇO. AF_12/2021 CS: 93012",M,"250,00 ","52,21 ","13.052,50 "
63-23-90-011 O H,"ESCAVA€ÇO MANUAL DE VALA OU CAVA EM MATERIAL DE 1¦ CATEGORIA, PROFUNDIDADE AT 1,50M - ORSE: 02497",M3,"90,00 ","55,75 ","5.017,50 "
66-23-68-006 U H,REATERRO DE VALA COM COMPACTA€ÇO MANUAL,M3,"70,00 ","55,75 ","3.902,50 "
01-11-05-042 C H,"DISJUNTOR TERMOMAGNTICO TRIPOLAR , CORRENTE NOMINAL DE 250A - FORNECIMENTO E INSTALA€ÇO. AF_10/2020 CS: 101897",UN,"2,00 ","780,04 ","1.560,08 "
01-11-08-050 C H,"ARMA€ÇO SECUNDµRIA, COM 1 ESTRIBO E 1 ISOLADOR - FORNECIMENTO E INSTALA€ÇO. AF_07/2020 CS: 101538",UN,"1,00 ","51,19 ","51,19 "
01-11-13-006 C H,"CORDOALHA DE COBRE NU 70 MMý, ENTERRADA- FORNECIMENTO E INSTALA€ÇO. AF_08/2023CS: 96978",M,"190,00 ","60,79 ","11.550,10 "
62-23-65-117 U H,CONECTOR CABO-HASTE EM BRONZE NATURAL PARA 1 CABO COBRE DE 16MM2 A 70MM2 COM GRAMPO U E PORCAS DE A€O GALV.REF:TEL-584 OU SIMILAR - FORNECIMENTO E INSTALA€ÇO,UN,"14,00 ","28,90 ","404,60 "
63-21-05-016 O H,"HASTE DE ATERRAMENTO COPPERWELD, DIMENSåES DE 5/8X 3,00M,C/ CAIXA DE INSPE€ÇOEM POPIPROPILENO E TUBO ESGOTO 300MM",UN,"12,00 ","273,24 ","3.278,88 "
63-21-05-014 O H,"QUADRO DE DISTRIBUI€ÇO DE LUZ EM CHAPA DE A€O DE SOBREPOR, AT 64 DIVISåES MODULARES, DIMENSåES EXTERNAS 973X405X95MM SEM BARRAMENTO",UN,"3,00 ","1.901,24 ","5.703,72 "
01-11-03-018 C H,"CABO DE COBRE FLEXÖVEL ISOLADO, 35 MMý,ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUI€ÇO DE ENERGIA ELTRICA - FORNECIMENTO E INSTALA€ÇO. AF_12/2021 CS: 92986",M,"170,00 ","30,94 ","5.259,80 "
63-21-05-057 O H,TERMINAL OU CONECTOR DE PRESSÇO 120MM2 - FORNECIMENTO E INSTALA€ÇO,UN,"16,00 ","41,70 ","667,20 "
01-11-01-039 C H,"ELETRODUTO RÖGIDO ROSCµVEL, PVC, DN 75 MM (2 1/2), PARA REDE ENTERRADA DE DISTRIBUI€ÇO DE ENERGIA ELTRICA - FORNECIMENTO E INSTALA€ÇO. AF_12/2021 CS: 93010",M,"50,00 ","28,54 ","1.427,00 "
01-11-09-006 C H,"ASSENTAMENTO DE POSTE DE CONCRETO COM COMPRIMENTO NOMINAL DE 11 M, CARGA NOMINAL MENOR OU IGUAL A 1000 DAN, ENGASTAMENTO SIMPLES COM 1,7 M DE SOLO (NÇO INCLUI FORNECIMENTO). AF_11/2019 CS: 100583",UN,"1,00 ","495,80 ","495,80 "
